2018-10-26 14:15:33,469; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:15:54,878; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:15:54,878; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:15:54,878; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:15:54,878; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:16:54,977; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:16:54,977; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:16:54,977; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:16:54,977; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 14:42:55,235; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 14:42:55,245; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 14:42:55,245; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 14:42:55,245; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 15:46:03,393; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 15:46:03,423; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 15:46:03,423; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 15:46:03,423; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 15:46:05,063; github; DEBUG;	github_controller.py;       	 Total number of repositories obtainable: 11
2018-10-26 15:46:47,952; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 15:46:47,952; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 15:46:47,952; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 15:46:47,962; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 15:46:48,894; github; DEBUG;	github_controller.py;       	 Total number of repositories obtainable: 11
2018-10-26 15:56:50,373; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 15:56:50,373; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
